FrameID	Timestamp(s)	Delta(ms)	LocalDelta(ms)	Irregular?
311941	1299.754167	4.166667	0.874389	
311942	1299.758333	4.166667	0.829781	
311943	1299.762500	4.166667	0.812412	
311944	1299.766667	4.166667	1.002686	
311945	1299.770833	4.166667	2.298282	
311946	1299.775000	4.166667	2.020767	
311947	1299.779167	4.166667	1.624824	
311948	1299.783333	4.166667	1.077295	
311949	1299.787500	4.166667	1.107691	
311950	1299.791667	4.166667	1.916945	
311951	1299.795833	4.166667	1.653247	
311952	1299.800000	4.166667	1.716803	
311953	1299.804167	4.166667	1.171642	
311954	1299.808333	4.166667	1.016897	
311955	1299.812500	4.166667	1.262042	
311956	1299.816667	4.166667	1.819440	
311957	1299.820833	4.166667	1.615745	
311958	1299.825000	4.166667	1.249804	
311959	1299.829167	4.166667	0.993606	
311960	1299.833333	4.166667	0.832150	
311961	1299.837500	4.166667	0.977816	
311962	1299.841667	4.166667	1.024002	
311963	1299.845833	4.166667	1.000317	
311964	1299.850000	4.166667	0.846756	
311965	1299.854167	4.166667	0.948604	
311966	1299.858333	4.166667	0.855441	
311968	1299.866667	8.333333	1.660747	1
311968	1299.866667	0.000000	1.942605	1
311969	1299.870833	4.166667	2.168011	
311970	1299.875000	4.166667	1.536793	
311971	1299.879167	4.166667	2.116693	
311972	1299.883333	4.166667	1.565611	
311973	1299.887500	4.166667	1.137298	
311974	1299.891667	4.166667	1.377706	
311975	1299.895833	4.166667	1.320861	
311976	1299.900000	4.166667	1.317702	
311977	1299.904167	4.166667	1.311386	
311978	1299.908333	4.166667	1.084795	
311979	1299.912500	4.166667	1.007817	
311980	1299.916667	4.166667	0.967157	
311981	1299.920833	4.166667	2.602245	
311982	1299.925000	4.166667	2.350390	
311983	1299.929167	4.166667	4.725649	
311984	1299.933333	4.166667	1.477185	
311985	1299.937500	4.166667	1.721145	
311986	1299.941667	4.166667	1.564821	
311987	1299.945833	4.166667	1.057952	
311988	1299.950000	4.166667	1.087559	
311989	1299.954167	4.166667	1.432972	
